,movie_id,actor,design,happy,music,plot,thrill,touched,vision
121,tt1127715,1.18,-0.76,0.0,0.59,1.28,-0.62,0.59,4.04
122,tt1189073,-0.13,0.38,-0.65,1.63,1.53,3.19,-0.1,2.5
123,tt1210166,2.83,0.0,1.41,0.0,1.27,-0.02,0.66,-0.33
124,tt1250777,0.0,0.0,0.83,0.06,-0.96,0.0,0.0,0.0
125,tt1315981,1.74,0.0,-1.23,1.32,0.64,0.0,1.29,-0.72
126,tt1318514,2.34,0.72,0.96,1.99,4.36,-0.54,0.0,3.48
127,tt1340107,2.43,0.0,0.38,0.73,-1.31,-0.62,-0.23,0.92
128,tt1386932,0.46,-0.1,-0.51,0.0,0.87,0.36,-0.84,0.0
129,tt1403865,1.61,0.34,2.35,0.85,1.96,0.27,0.0,1.76
130,tt1410063,0.57,0.56,1.36,-1.16,0.37,-2.08,-2.27,-0.35
131,tt1436045,0.5,0.0,1.06,0.93,-1.44,0.86,0.0,1.91
132,tt1465522,1.2,0.0,7.13,0.0,1.39,2.09,0.32,0.0
133,tt1542344,0.0,0.0,0.93,2.29,1.67,1.74,0.29,5.46
134,tt1568921,0.91,0.0,0.0,9.35,-0.04,0.0,1.77,1.74
135,tt1614989,0.6,0.0,0.25,0.0,0.7,4.07,0.0,2.05
136,tt1649419,0.56,0.0,0.0,0.0,0.99,-3.0,-0.36,0.76
137,tt1707386,2.34,0.59,0.46,15.0,0.97,-0.89,0.97,1.56
138,tt1855199,1.14,0.0,1.99,0.28,2.86,-0.11,2.2,1.76
139,tt1899353,0.03,0.0,0.0,0.7,0.63,0.86,0.22,2.2
140,tt1937149,3.09,0.0,0.0,2.53,3.18,8.96,0.0,1.77
141,tt2103281,0.0,0.0,0.51,0.49,1.0,0.8,-0.54,1.73
142,tt2431286,1.02,0.0,2.54,1.4,2.96,0.1,2.18,-0.27
143,tt2582782,0.78,0.0,-0.76,1.42,-0.89,0.23,0.33,4.24
144,tt2713180,0.15,0.0,-0.38,0.0,-0.03,-1.04,0.0,-0.14
145,tt2802154,2.2,0.0,0.0,0.89,2.33,0.46,0.68,4.13
146,tt3076658,1.43,0.64,0.0,0.8,1.37,-0.56,0.2,0.0
147,tt3397884,0.42,0.0,0.0,0.89,1.62,0.43,0.15,4.14
148,tt3416742,2.38,0.0,14.05,0.0,2.58,1.85,0.15,-0.74
149,tt3521164,0.0,0.0,2.97,6.74,-0.8,-0.69,0.67,3.73
150,tt3682448,1.02,0.0,0.86,0.51,-0.66,0.51,0.0,-0.03
151,tt3890160,0.12,0.0,0.21,5.04,-0.63,0.04,0.0,-0.99
152,tt3966404,2.34,0.0,0.51,2.13,0.0,-0.71,0.4,3.6
153,tt4481414,4.17,0.0,1.29,0.0,2.93,0.0,-0.15,0.4
154,tt5462602,4.43,0.0,7.79,0.78,2.31,0.76,7.02,0.95
155,tt5649144,0.4,0.0,1.03,-0.01,1.53,-0.11,0.0,1.13
156,tt6499752,1.87,0.0,4.25,0.0,2.77,0.26,0.0,0.47
157,tt6644200,0.62,0.0,0.0,1.66,-0.47,-0.77,0.0,-2.19
158,tt7349662,-0.21,0.0,3.77,0.0,0.17,-0.02,0.22,0.86
159,tt0024184,0.92,0.0,2.37,0.72,1.79,-1.06,0.57,-0.65
160,tt0045793,2.3,0.0,-0.27,0.0,3.04,0.0,0.0,1.78
161,tt0046303,0.72,0.0,0.0,0.6,0.13,0.0,0.0,6.52
162,tt0047437,2.0,0.0,2.67,0.11,0.65,-0.86,6.99,2.27
163,tt0049261,2.8,1.85,0.55,1.32,1.7,-0.57,0.0,5.54
164,tt0054167,1.92,0.0,-0.88,0.23,0.83,-0.48,0.48,0.48
165,tt0054698,2.96,1.99,5.65,5.56,2.56,0.44,5.67,4.14
166,tt0056869,0.0,0.0,1.49,0.15,-0.14,-3.14,0.46,-1.32
167,tt0058150,0.0,0.0,1.74,2.9,1.36,1.77,0.0,-1.59
168,tt0058182,1.46,0.79,4.99,15.33,0.21,0.0,0.0,3.79
169,tt0063374,2.99,0.0,8.68,-0.36,3.88,0.0,0.0,1.59
170,tt0063462,-0.12,0.0,8.56,0.78,2.14,-0.53,-0.64,0.0
171,tt0065207,1.92,0.0,0.0,-1.42,3.81,1.37,0.0,0.84
172,tt0065938,2.66,0.0,5.93,2.71,1.35,0.74,-0.08,1.75
173,tt0067140,0.49,0.0,2.13,0.37,0.34,0.0,0.0,-0.93
174,tt0068473,1.27,0.0,-0.67,0.89,-0.57,-3.61,0.0,1.11
175,tt0070034,1.68,0.0,1.21,2.18,1.0,0.81,-0.2,1.65
176,tt0073582,0.0,0.0,0.0,0.89,2.8,-0.55,0.92,2.41
177,tt0074811,0.49,0.0,0.39,0.0,-1.02,-3.5,0.49,0.0
178,tt0075860,0.04,0.0,0.81,0.0,0.15,0.87,0.15,0.17
179,tt0078480,-0.57,0.0,1.34,6.01,0.22,-0.76,0.06,0.86
180,tt0080120,0.35,0.16,0.94,3.48,1.46,-0.46,0.0,1.53
181,tt0083944,2.02,0.0,0.78,0.89,-0.53,0.26,0.21,-0.17
182,tt0084726,0.78,0.65,0.0,1.27,1.34,-0.19,1.09,0.32
183,tt0088680,0.0,0.0,-1.25,0.89,1.07,-0.69,-0.77,0.05
184,tt0089853,0.8,0.0,3.09,1.24,1.43,0.0,1.67,2.04
185,tt0096438,-0.59,0.0,5.5,0.55,0.0,-1.48,0.0,0.64
186,tt0101410,2.3,0.0,0.92,2.31,2.06,1.0,0.0,1.53
187,tt0101700,1.79,0.0,2.45,3.55,1.03,1.14,-0.13,6.58
188,tt0101921,0.99,0.0,3.23,0.61,0.32,0.96,2.19,4.77
189,tt0104257,2.3,0.0,1.21,0.34,2.02,-0.88,0.44,-0.13
190,tt0104797,0.09,0.0,0.0,0.71,-0.78,0.0,0.0,0.0
191,tt0104940,0.0,0.0,5.13,11.53,0.0,0.0,0.19,0.9
192,tt0106677,0.61,0.0,3.77,7.12,0.79,-0.93,0.0,1.05
193,tt0107818,1.95,0.0,1.72,0.91,0.84,-0.7,2.03,0.0
194,tt0108122,2.89,0.0,0.2,-0.92,3.2,-0.05,-0.3,-0.27
195,tt0110877,1.89,0.74,0.0,1.4,0.96,-0.6,1.7,2.95
196,tt0111507,0.27,0.0,1.86,2.23,2.41,0.0,0.0,4.97
